station name: Minneapolis/St Paul Threaded Reoord
station identifier: mspthr
key: T=trace | M=missing | S=multi-day value to follow | A=multi-day accumulative value | blank=unknown
,maximum,minimum,precipitation,snowfall,snow depth,time of,time of,time of,time of,time of
,temperature,temperature,,,,observation,observation,observation,observation,observation
,,,,,,maxt,mint,pcpn,snow,snwd
date,(degrees F),(degrees F),(inches),(inches),(inches),(hour),(hour),(hour),(hour),(hour)
1970-01-01,24,15,0.01,0.4,19,24,24,0,0,0
1970-01-02,19,-6,0.01,0.1,19,24,24,0,0,0
1970-01-03,10,-9,T,0.1,19,24,24,0,0,0
1970-01-04,12,-15,0.02,0.8,20,24,24,0,0,0
1970-01-05,-0,-15,T,T,19,24,24,0,0,0
1970-01-06,-1,-19,T,T,18,24,24,0,0,0
1970-01-07,-3,-14,T,T,17,24,24,0,0,0
1970-01-08,3,-16,T,T,17,24,24,0,0,0
1970-01-09,6,-9,0.00,0.0,17,24,24,0,0,0
1970-01-10,19,-11,T,T,17,24,24,0,0,0
1970-01-11,25,4,T,T,16,24,24,0,0,0
1970-01-12,13,-5,0.00,0.0,16,24,24,0,0,0
1970-01-13,9,2,0.05,1.0,16,24,24,0,0,0
1970-01-14,17,9,0.01,0.1,17,24,24,0,0,0
1970-01-15,28,17,T,T,17,24,24,0,0,0
1970-01-16,24,-3,0.11,2.0,17,24,24,0,0,0
1970-01-17,-3,-19,0.05,2.0,20,24,24,0,0,0
1970-01-18,-13,-28,0.00,0.0,20,24,24,0,0,0
1970-01-19,-10,-34,0.00,0.0,20,24,24,0,0,0
1970-01-20,-10,-24,0.00,0.0,20,24,24,0,0,0
1970-01-21,-3,-29,T,T,20,24,24,0,0,0
1970-01-22,17,-3,0.03,1.5,20,24,24,0,0,0
1970-01-23,15,-8,T,T,21,24,24,0,0,0
1970-01-24,29,13,0.00,0.0,21,24,24,0,0,0
1970-01-25,32,18,0.10,0.8,20,24,24,0,0,0
1970-01-26,31,15,0.06,0.8,21,24,24,0,0,0
1970-01-27,34,4,0.01,T,21,24,24,0,0,0
1970-01-28,37,29,0.01,0.0,20,24,24,0,0,0
1970-01-29,29,11,T,0.2,19,24,24,0,0,0
1970-01-30,29,5,T,T,18,24,24,0,0,0
1970-01-31,33,16,0.00,0.0,18,24,24,0,0,0
1970-02-01,36,5,T,T,17,24,24,0,0,0
1970-02-02,5,-15,T,T,16,24,24,0,0,0
1970-02-03,-5,-21,0.02,0.4,16,24,24,0,0,0
1970-02-04,23,-5,0.07,1.2,15,24,24,0,0,0
1970-02-05,28,-2,T,T,16,24,24,0,0,0
1970-02-06,34,11,0.00,0.0,16,24,24,0,0,0
1970-02-07,40,29,0.00,0.0,15,24,24,0,0,0
1970-02-08,32,19,0.00,0.0,15,24,24,0,0,0
1970-02-09,27,14,0.00,0.0,14,24,24,0,0,0
1970-02-10,32,21,0.00,0.0,14,24,24,0,0,0
1970-02-11,28,11,T,0.1,14,24,24,0,0,0
1970-02-12,18,3,0.04,1.1,14,24,24,0,0,0
1970-02-13,8,-12,0.00,0.0,16,24,24,0,0,0
1970-02-14,9,-15,T,T,16,24,24,0,0,0
1970-02-15,15,-5,0.02,0.9,16,24,24,0,0,0
1970-02-16,31,-5,0.00,0.0,16,24,24,0,0,0
1970-02-17,38,15,0.00,0.0,16,24,24,0,0,0
1970-02-18,36,1,0.00,0.0,14,24,24,0,0,0
1970-02-19,14,-5,T,T,14,24,24,0,0,0
1970-02-20,28,-9,T,T,14,24,24,0,0,0
1970-02-21,39,17,0.00,0.0,14,24,24,0,0,0
1970-02-22,39,22,0.00,0.0,12,24,24,0,0,0
1970-02-23,38,15,0.00,0.0,10,24,24,0,0,0
1970-02-24,31,13,0.00,0.0,10,24,24,0,0,0
1970-02-25,15,2,0.00,0.0,9,24,24,0,0,0
1970-02-26,35,15,T,0.1,9,24,24,0,0,0
1970-02-27,22,11,T,0.1,9,24,24,0,0,0
1970-02-28,27,6,0.01,0.4,9,24,24,0,0,0
1970-03-01,30,24,T,T,9,24,24,0,0,0
1970-03-02,34,30,0.05,T,9,24,24,0,0,0
1970-03-03,39,26,1.19,0.0,7,24,24,0,0,0
1970-03-04,31,18,0.00,0.0,6,24,24,0,0,0
1970-03-05,35,18,0.31,2.4,6,24,24,0,0,0
1970-03-06,31,12,0.00,0.0,8,24,24,0,0,0
1970-03-07,30,17,0.00,0.0,8,24,24,0,0,0
1970-03-08,21,14,T,T,8,24,24,0,0,0
1970-03-09,29,11,0.00,0.0,8,24,24,0,0,0
1970-03-10,30,19,0.00,0.0,8,24,24,0,0,0
1970-03-11,32,8,0.00,0.0,8,24,24,0,0,0
1970-03-12,26,12,0.00,0.0,8,24,24,0,0,0
1970-03-13,27,15,T,T,8,24,24,0,0,0
1970-03-14,28,16,0.00,0.0,8,24,24,0,0,0
1970-03-15,29,11,0.00,0.0,7,24,24,0,0,0
1970-03-16,33,11,0.00,0.0,6,24,24,0,0,0
1970-03-17,38,18,0.00,0.0,5,24,24,0,0,0
1970-03-18,43,23,0.00,0.0,4,24,24,0,0,0
1970-03-19,38,28,0.39,3.7,2,24,24,0,0,0
1970-03-20,40,25,0.07,1.3,6,24,24,0,0,0
1970-03-21,39,19,0.00,0.0,3,24,24,0,0,0
1970-03-22,39,21,0.00,0.0,2,24,24,0,0,0
1970-03-23,37,25,T,T,1,24,24,0,0,0
1970-03-24,43,19,0.00,0.0,1,24,24,0,0,0
1970-03-25,44,29,0.00,0.0,1,24,24,0,0,0
1970-03-26,35,23,T,T,T,24,24,0,0,0
1970-03-27,28,12,0.03,0.8,1,24,24,0,0,0
1970-03-28,25,11,T,T,T,24,24,0,0,0
1970-03-29,37,16,0.01,0.4,T,24,24,0,0,0
1970-03-30,32,22,T,T,T,24,24,0,0,0
1970-03-31,39,17,0.00,0.0,T,24,24,0,0,0
1970-04-01,34,23,0.00,0.0,T,24,24,0,0,0
1970-04-02,40,15,T,T,T,24,24,0,0,0
1970-04-03,40,29,T,T,T,24,24,0,0,0
1970-04-04,43,18,0.00,0.0,T,24,24,0,0,0
