year,minTemp
1930,-3
1931,10
1932,8
1933,28
1934,19
1935,-6
1936,-4
1937,-14
1938,12
1939,6
1940,-5
1941,22
1942,29
1943,-5
1944,21
1945,6
1946,-9
1947,7
1948,-12
1949,20
1950,-10
1951,6
1952,20
1953,-9
1954,-7
1955,8
1956,9
1957,-4
1958,26
1959,-3
1960,10
1961,22
1962,-10
1963,-32
1964,6
1965,-4
1966,11
1967,-15
1968,8
1969,27
1970,17
1971,-14
1972,-29
1973,33
1974,12
1975,2
1976,5
1977,-22
1978,-3
1979,-16
1980,33
1981,2
1982,-16
1983,2
1984,-7
1985,-5
1986,11
1987,4
1988,13
1989,14
1990,20
1991,18
1992,-14
1993,-6
1994,-25
1995,13
1996,-0
1997,2
1998,-12
1999,5
2000,14
2001,22
2002,19
2003,-2
2004,10
2005,-11
2006,30
2007,-0
2008,-5
2009,-21
